year,effect,equation,support,society,population,differences,action,response,culture,work,problem,number,political,gender,cultural,system,model,life,theory,association,general,status,human,process,state,effects,committee,variables,behavior,black,individual,area,values,labor,relations,poverty,sociology,women,children,time,racial,role,level,science,class,power,employment,control,ties,public,countries,world,race,marriage,organization,attendance,education,students,variable,inequality,members,health,educational,development,organizations,participation,problems,job,research,social,low,income,occupation,occupational,structure,group,mobility,changes,paperbound,data,analysis,city,church,rates,change,family,ethnic,movement,market,percent,cohort,rural,men,workers,religious,weber,economic,groups,urban,models,relationship,age,white,measures,sex,crime,interaction,people,school,persons,information,community,college,capital,foreign,parents,justice,neighborhood,investment
1961,0,0,0,1225,709,0,0,0,0,1480,0,721,661,0,0,700,0,712,943,922,732,1011,0,0,656,0,0,0,829,0,0,0,0,0,0,0,1292,0,0,867,0,0,0,694,911,0,0,0,0,0,0,0,0,0,746,0,0,656,0,0,0,0,0,0,0,0,833,0,1763,4236,0,0,0,0,726,1222,0,0,0,1087,1143,0,0,0,701,1087,0,0,0,0,0,0,0,0,0,0,0,860,0,0,0,0,0,0,0,0,0,0,0,0,0,928,0,0,0,0,0,0,0
1962,0,0,0,1199,987,0,0,0,0,1340,0,830,871,0,0,0,0,0,1148,1081,803,998,0,0,0,0,0,653,939,0,0,633,0,0,0,0,1438,0,0,636,0,0,0,673,654,662,0,0,0,0,0,0,0,0,0,0,695,0,0,0,0,0,0,0,0,0,803,0,1975,4583,0,0,0,646,760,1247,0,0,0,1275,1023,0,0,0,0,778,0,0,0,0,0,0,0,0,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,0,711,976,0,0,0,0,0,0,0
1963,0,0,0,1328,0,0,0,0,0,1550,0,751,1145,0,0,824,0,0,1192,875,748,1168,0,0,697,0,0,0,839,0,0,0,0,0,0,0,1671,0,0,738,0,689,0,774,1008,0,0,0,0,0,0,0,0,0,0,0,719,0,0,0,0,0,0,715,0,0,838,0,1759,5077,0,0,0,0,0,1328,0,0,0,1116,1160,0,0,0,821,934,0,0,0,0,0,0,0,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,720,0,0,787,735,0,0,0,0,0,0
1964,0,0,0,1433,0,0,0,0,0,1461,0,0,1521,0,0,732,0,753,904,1206,750,882,0,0,771,0,0,0,763,0,0,0,0,0,0,0,1535,0,0,950,0,0,0,0,733,776,0,0,0,0,0,0,0,0,0,0,0,784,0,0,0,0,0,0,0,0,956,0,1714,4658,0,0,0,0,814,756,0,0,0,1177,1222,0,0,0,972,1110,0,0,0,0,0,0,0,0,0,0,765,748,0,0,0,0,0,0,0,0,0,0,0,0,885,811,907,0,0,0,0,0,0
1965,0,0,0,1535,0,0,0,0,0,1688,0,733,1189,0,0,0,0,808,1164,746,788,812,0,0,746,0,0,0,885,0,0,0,790,0,800,0,1841,0,0,0,0,0,0,786,710,0,0,0,0,0,0,0,0,0,748,0,0,767,0,0,0,0,0,0,0,0,943,0,2000,4803,0,0,0,0,775,1415,0,0,0,1260,1256,0,0,0,927,1066,0,0,0,0,0,0,0,0,0,715,0,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717,0,0,0,0,0,0
1966,0,0,0,1170,0,0,0,0,0,1324,0,712,1005,0,0,0,0,613,1158,0,691,1290,0,0,0,0,0,0,773,0,0,0,0,0,0,0,1130,0,0,578,0,629,0,0,1006,0,0,0,0,0,0,0,0,0,587,0,617,0,0,0,0,0,0,689,591,0,812,0,1415,4174,0,0,0,0,691,1009,0,0,0,1303,1201,0,0,0,720,1033,0,0,0,0,0,0,0,0,0,0,620,685,0,0,0,0,0,0,0,0,0,0,656,0,0,789,0,0,0,0,0,0,0
1967,0,0,0,1158,0,0,0,0,0,1773,0,805,1232,0,0,0,0,0,1293,0,779,1010,0,0,0,0,0,734,874,0,0,0,0,0,0,0,1172,0,0,732,0,0,0,0,1018,0,0,0,0,0,0,0,0,0,694,0,676,0,0,0,0,0,0,758,0,0,826,0,1494,4623,0,0,0,0,748,1070,828,0,0,1518,1300,0,0,0,791,1066,0,0,0,989,0,0,0,0,814,0,746,846,0,0,0,0,0,0,0,0,0,0,0,0,0,691,0,0,0,0,0,0,0
1968,0,0,0,1423,0,0,0,0,0,1576,0,879,1369,0,0,892,0,0,1168,697,772,712,0,0,0,0,0,822,919,0,0,0,875,0,0,0,1547,0,0,0,0,0,0,700,0,1163,0,0,0,0,0,0,0,0,865,0,1130,748,0,0,0,0,0,761,800,0,817,0,1551,4568,0,0,0,0,920,1012,0,0,0,1448,1326,0,0,0,843,0,0,0,0,0,0,0,0,0,0,0,0,758,0,0,0,0,0,0,0,0,0,0,0,0,0,846,0,0,0,0,0,0,0
1969,0,0,0,1588,906,0,0,0,0,1651,0,821,1403,0,0,919,0,0,1293,0,782,1264,0,0,0,0,0,0,1025,0,0,0,0,0,0,0,1547,0,0,987,0,0,0,0,1101,1081,0,0,0,0,0,0,0,0,819,0,836,809,0,0,0,0,0,853,0,0,1255,0,1803,6272,0,0,0,0,0,1115,0,0,983,1645,1641,0,0,0,1084,849,0,0,0,0,0,0,0,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,780,0,0,919,0,0,0,0,0,0,0
1970,0,0,0,1733,0,0,0,0,0,1929,0,935,1991,0,0,1154,1055,0,1878,0,1018,1013,0,0,0,0,0,985,1187,0,0,0,0,0,0,0,2004,0,0,996,0,0,0,1128,939,1326,0,0,0,0,0,0,0,0,886,0,879,945,0,0,0,0,0,0,0,0,1313,0,2081,6414,0,0,0,0,914,0,0,0,1255,1731,1676,0,0,0,1447,944,0,0,0,0,0,0,0,0,0,0,0,0,1139,0,0,0,0,0,0,0,0,0,0,0,0,1534,0,0,0,0,0,0,0
